NO,Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,,,,,,,
1,1998,77.2,92.4,274.7,41.7,36.2,89.5,141.4,187.3,341.7,118.4,102.4,23.2,,,,,,,
2,1999,26.0,66.4,19.4,41.7,166.6,93.7,100.2,125.4,138.6,172.6,133.8,3.0,,,,,,,
3,2000,205.4,34.6,1.9,91.6,114.5,106.5,68.5,108.8,182.1,122.1,32.6,120.1,,,,,,,
4,2001,57.7,37.9,47.4,155.4,339.5,51.1,156.5,169.4,243.9,248.2,196.1,75.5,,,,,,,
5,2002,45.9,38.5,7.5,39.4,166.8,157.4,117.5,184.1,342.8,221.7,109.4,43.4,,,,,,,
6,2003,44.7,48.9,122.9,168.2,55.8,79.2,126.4,216.5,58.2,232.2,34.8,31.8,,,,,,,
7,2004,47.5,16.4,109.5,113.1,202.9,102.0,104.7,134.3,142.7,167.8,20.6,33.1,,,,,,,
8,2005,31.8,0.1,14.1,140.6,233.4,135.5,509.6,159.8,126.8,308.5,57.2,10.8,,,,,,,
9,2006,20.4,63.1,20.4,135.9,418.4,324.2,108.0,349.5,86.3,141.6,152.1,120.6,,,,,,,
10,2007,30.8,22.4,124.8,20.6,292.5,96.9,62.3,129.6,123.1,491.5,461.7,78.6,,,,,,,
11,2008,9.0,39.3,147.9,124.9,110.5,122.8,59.6,277.9,479.5,112.5,358.4,36.2,,,,,,,
12,2009,19.5,23.1,25.6,78.2,276.2,131.6,91.5,100.0,107.0,150.3,67.2,75.7,,,,,,,
13,2010,30.9,116.5,32.6,314.1,141.9,175.7,144.6,100.3,362.8,216.1,42.0,13.2,,,,,,,
14,2011,82.7,20.5,20.3,41.5,205.9,364.9,125.7,123.8,93.4,165.2,21.6,41.1,,,,,,,
15,2012,41.5,14.1,77.3,120.0,129.5,103.9,205.9,264.0,128.2,345.3,9.6,51.7,,,,,,,
16,2013,37.7,22.5,21.1,80.6,141.0,141.8,162.1,239.8,159.7,81.4,68.6,32.5,,,,,,,
17,2014,50.7,80.3,92.2,156.7,194.5,128.3,83.1,135.8,143.5,125.1,66.2,15.8,,,,,,,
18,2015,30.5,46.6,1.3,98.1,215.7,95.3,54.4,184.1,126.7,164.5,98.6,63.6,,,,,,,
19,2016,76.2,58.9,64.1,113.7,274.5,81.8,126.1,93.0,83.2,207.3,43.0,40.8,,,,,,,
20,2017,25.1,12.9,37.7,389.9,209.7,114.7,83.6,49.8,326.4,86.7,153.7,294.2,,,,,,,
21,2018,198.0,24.5,67.7,195.5,219.4,50.5,89.0,138.0,132.4,213.6,60.6,62.2,,,,,,,
22,2019,48.2,58.4,87.3,82.2,153.2,61.4,117.3,125.0,321.3,105.0,85.6,107.3,,,,,,,
23,2020,74.6,29.7,25.8,33.2,158.3,136.6,170.0,227.9,127.1,230.9,274.4,61.3,,,,,,,
24,2021,23.1,23.9,44.7,79.5,158.3,135.6,136.0,116.0,79.0,227.7,119.8,94.1,,,,,,,
25,2022,59.7,69.2,26.9,209.0,163.6,129.7,135.9,121.6,154.2,104.5,63.4,7.5,,,,,,,
26,2023,33.8,1.4,47.1,170.9,256.0,542.8,60.9,115.0,169.2,217.9,226.4,50.8,,,,,,,
27,2024,23.1,70.8,16.0,18.3,145.3,215.2,106.2,199.9,74.9,167.8,208.5,65.4,,,,,,,
